songName,year,Album,songWriters,rock,pop,folk,psychedelic,blues,rockroll,other,Harrison,Lennon,LennonMcCartney,McCartney,Starkey,chartPos,Duration,d1to130,d130to2,d2to230,d230to3,d3to330,d330to4,d4to430,d430to5,d5to530,d530to6,d6to630,d630to7,d7to730,d730to8,d8plus
In Spite of All the Danger,1958,Anthology 1,McCartney and Harrison,#282828,#282828,#282828,#282828,#336dff,#ff8f33,#abff33,0,0,0,0,0,,164,#fcfcfc,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Cayenne,1960,Anthology 1,McCartney,#ff336d,#282828,#282828,#282828,#282828,#282828,#abff33,0,0,0,1,0,,73,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
You'll Be Mine,1960,Anthology 1,Lennon and McCartney,#282828,#282828,#282828,#282828,#336dff,#282828,#abff33,0,0,1,0,0,,98,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Cry for a Shadow,1961,Anthology 1,Lennon and Harrison,#ff336d,#282828,#282828,#282828,#282828,#282828,#abff33,0,0,0,0,0,,140,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
My Bonnie,1961,Anthology 1,Traditional arr. Sheridan,#282828,#282828,#282828,#282828,#282828,#ff8f33,#282828,0,0,0,0,0,,,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
I Lost My Little Girl,1962,0,McCartney,#ff336d,#282828,#282828,#282828,#282828,#282828,#282828,0,0,0,1,0,,105,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Love of the Loved,1962,0,Lennon and McCartney,#282828,#33d4ff,#282828,#282828,#282828,#282828,#282828,0,0,1,0,0,,122,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
The Saints,1962,0,Traditional arr. Sheridan,#282828,#282828,#282828,#282828,#282828,#ff8f33,#282828,0,0,0,0,0,,,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Tip of My Tongue,1962,0,Lennon and/or McCartney,#282828,#282828,#282828,#282828,#282828,#282828,#282828,0,0,0,0,0,,,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Hello Little Girl,1962,Anthology 1,Lennon,#282828,#282828,#282828,#282828,#282828,#ff8f33,#282828,0,1,0,0,0,,,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Like Dreamers Do,1962,Anthology 1,McCartney,#ff336d,#282828,#282828,#282828,#282828,#282828,#282828,0,0,0,1,0,,156,#fcfcfc,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Ask Me Why,1962,Please Please Me,Lennon and McCartney,#282828,#33d4ff,#282828,#282828,#282828,#282828,#282828,0,0,1,0,0,,144,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Love Me Do,1962,Please Please Me,Lennon and McCartney,#282828,#33d4ff,#282828,#282828,#336dff,#ff8f33,#282828,0,0,1,0,0,1,142,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
P.S. I Love You,1962,Please Please Me,Lennon and McCartney,#282828,#33d4ff,#282828,#282828,#282828,#ff8f33,#282828,0,0,1,0,0,10,126,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Please Please Me,1962,Please Please Me,Lennon,#282828,#282828,#282828,#282828,#282828,#ff8f33,#282828,0,1,0,0,0,3,120,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
I'll Keep You Satisfied,1963,0,Lennon and McCartney,#282828,#282828,#282828,#282828,#282828,#282828,#abff33,0,0,1,0,0,,,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
From Me to You,1963,A Collection of Beatles Oldies,Lennon and McCartney,#282828,#282828,#282828,#282828,#282828,#ff8f33,#282828,0,0,1,0,0,41,116,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
I Want to Hold Your Hand,1963,A Collection of Beatles Oldies,Lennon and McCartney,#ff336d,#33d4ff,#282828,#282828,#282828,#ff8f33,#282828,0,0,1,0,0,1,144,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
She Loves You,1963,A Collection of Beatles Oldies,Lennon and McCartney,#282828,#33d4ff,#282828,#282828,#282828,#ff8f33,#282828,0,0,1,0,0,1,138,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Moonlight Bay,1963,Anthology 1,Percy Wenrich�Edward Madden,#282828,#282828,#282828,#282828,#282828,#282828,#abff33,0,0,0,0,0,,,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
From Us to You,1963,Live at the BBC,Lennon and McCartney,#282828,#282828,#282828,#282828,#282828,#ff8f33,#282828,0,0,1,0,0,,116,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
I'll Be on My Way,1963,Live at the BBC,McCartney,#282828,#33d4ff,#282828,#282828,#282828,#282828,#282828,0,0,0,1,0,,100,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
I'll Get You,1963,Past Masters Volume 1,Lennon and McCartney,#282828,#282828,#282828,#282828,#282828,#ff8f33,#282828,0,0,1,0,0,,124,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Do You Want to Know a Secret?,1963,Please Please Me,Lennon,#282828,#33d4ff,#282828,#282828,#282828,#282828,#282828,0,1,0,0,0,2,116,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
I Saw Her Standing There,1963,Please Please Me,Lennon and McCartney,#282828,#282828,#282828,#282828,#282828,#ff8f33,#282828,0,0,1,0,0,14,175,#fcfcfc,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Misery,1963,Please Please Me,Lennon and McCartney,#ff336d,#33d4ff,#282828,#282828,#282828,#282828,#282828,0,0,1,0,0,,107,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
There's a Place,1963,Please Please Me,Lennon and McCartney,#282828,#282828,#282828,#282828,#282828,#ff8f33,#282828,0,0,1,0,0,,109,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Thank You Girl,1963,Rarities,Lennon and McCartney,#282828,#282828,#282828,#282828,#282828,#ff8f33,#282828,0,0,1,0,0,35,121,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
This Boy,1963,Rarities,Lennon,#282828,#33d4ff,#282828,#282828,#336dff,#282828,#282828,0,1,0,0,0,,133,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
Bad to Me,1963,The Beatles Bootleg Recordings 1963,Lennon,#282828,#33d4ff,#282828,#282828,#282828,#282828,#282828,0,1,0,0,0,,142,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
I'm In Love,1963,The Beatles Bootleg Recordings 1963,Lennon,#282828,#282828,#282828,#282828,#282828,#282828,#282828,0,1,0,0,0,,92,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
All I've Got to Do,1963,With the Beatles,Lennon,#282828,#282828,#282828,#282828,#282828,#282828,#abff33,0,1,0,0,0,,124,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
All My Loving,1963,With the Beatles,McCartney,#ff336d,#33d4ff,#282828,#282828,#282828,#282828,#282828,0,0,0,1,0,45,124,#fcfcfc,#fcfcfc,#fcfcfc,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121,#212121
