Song Name,rock,pop,folk,psychedelic,blues,rockroll,other
In Spite of All the Danger,#ffe9f0,#e6fbff,#fff7e6,#fee9ff,#336dff,#ff8f33,#abff33
Cayenne,#ff336d,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#fff0e3,#abff33
You'll Be Mine,#ffe9f0,#e6fbff,#fff7e6,#fee9ff,#336dff,#fff0e3,#abff33
Cry for a Shadow,#ff336d,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#fff0e3,#abff33
My Bonnie,#ffe9f0,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#ff8f33,#f1ffd9
I Lost My Little Girl,#ff336d,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#fff0e3,#f1ffd9
Love of the Loved,#ffe9f0,#33d4ff,#fff7e6,#fee9ff,#e9f0ff,#fff0e3,#f1ffd9
The Saints,#ffe9f0,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#ff8f33,#f1ffd9
Tip of My Tongue,#ffe9f0,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#fff0e3,#f1ffd9
Hello Little Girl,#ffe9f0,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#ff8f33,#f1ffd9
Like Dreamers Do,#ff336d,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#fff0e3,#f1ffd9
Ask Me Why,#ffe9f0,#33d4ff,#fff7e6,#fee9ff,#e9f0ff,#fff0e3,#f1ffd9
Love Me Do,#ffe9f0,#33d4ff,#fff7e6,#fee9ff,#336dff,#ff8f33,#f1ffd9
P.S. I Love You,#ffe9f0,#33d4ff,#fff7e6,#fee9ff,#e9f0ff,#ff8f33,#f1ffd9
Please Please Me,#ffe9f0,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#ff8f33,#f1ffd9
I'll Keep You Satisfied,#ffe9f0,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#fff0e3,#abff33
From Me to You,#ffe9f0,#e6fbff,#fff7e6,#fee9ff,#e9f0ff,#ff8f33,#f1ffd9
